Date,SPY,QQQ,TLT,GLD,DBC,UUP
2010-01-04,113.33,46.203784,89.81,109.78,25.24,22.92
2010-01-05,113.65,46.203784,90.39,109.67,25.23,22.91
2010-01-06,113.73,45.974855,89.18,111.56,25.72,22.85
2010-01-07,114.21,45.954948,89.33,110.83,25.4,23.0
2010-01-08,114.62,46.333178,89.29,111.38,25.43,22.84
2010-01-11,114.74,46.144063,88.8,112.85,25.27,22.72
2010-01-12,113.67,45.566765,90.32,110.51,24.74,22.72
2010-01-13,114.64,46.13411,89.27,111.54,24.78,22.7
2010-01-14,114.94,46.16397,90.52,112.03,24.65,22.67
2010-01-15,113.67,45.636439,91.08,110.86,24.37,22.77
2010-01-19,115.12,46.372992,90.82,111.5,24.53,22.84
2010-01-20,113.86,45.706112,91.74,108.94,24.07,23.12
2010-01-21,111.65,45.268162,92.16,107.38,23.77,23.11
2010-01-22,109.21,43.95431,92.0,107.17,23.49,23.08
2010-01-25,109.78,44.103612,91.58,107.48,23.63,23.05
2010-01-26,109.29,44.143425,91.61,107.56,23.37,23.15
2010-01-27,109.81,44.491795,91.56,106.51,23.03,23.23
2010-01-28,108.54,43.347152,91.51,106.48,22.94,23.27
2010-01-29,107.37,42.590691,92.31,105.96,22.69,23.45
2010-02-01,109.06,43.048549,91.15,108.34,23.24,23.35
2010-02-02,110.41,43.446686,91.41,109.15,23.74,23.27
2010-02-03,109.82,43.685568,90.35,108.7,23.45,23.4
2010-02-04,106.49,42.44139,91.78,104.34,22.66,23.55
2010-02-05,106.66,42.779807,91.98,104.55,22.38,23.65
2010-02-08,105.87,42.47125,92.1,104.04,22.38,23.64
2010-02-09,107.2,42.919154,91.18,105.41,22.79,23.49
2010-02-10,107.01,42.81962,90.31,105.12,22.8775,23.56
2010-02-11,108.13,43.466593,89.82,107.13,23.15,23.55
2010-02-12,108.04,43.556173,90.19,107.04,23.02,23.64
2010-02-16,109.75,44.113565,90.36,109.57,23.72,23.43
2010-02-17,110.26,44.362401,89.33,109.25,23.6,23.65
2010-02-18,110.91,44.641096,88.97,109.98,23.81,23.65
2010-02-19,111.18,44.62119,89.45,109.47,23.95,23.72
2010-02-22,111.15,44.531609,89.08,109.08,23.82,23.68
2010-02-23,109.81,43.944357,90.47,107.89,23.43,23.81
2010-02-24,110.84,44.402214,90.69,107.36,23.62,23.76
2010-02-25,110.67,44.392261,91.2,108.31,23.22,23.71
2010-02-26,110.76,44.551516,91.67,109.43,23.63,23.64
2010-03-01,111.86,45.198488,91.34,109.43,23.39,23.72
2010-03-02,112.19,45.337836,91.22,111.02,23.64,23.65
2010-03-03,112.3,45.367696,90.99,111.65,23.87,23.51
2010-03-04,112.66,45.536904,91.47,110.83,23.66,23.64
2010-03-05,114.23,46.233644,90.27,110.81,23.94,23.63
2010-03-08,114.29,46.313271,89.8,109.88,23.91,23.62
2010-03-09,114.46,46.591967,89.82,109.69,23.65,23.66
2010-03-10,114.99,46.95029,89.59,108.47,23.72,23.62
2010-03-11,115.45,47.119498,89.92,108.6,23.66,23.57
2010-03-12,115.46,47.139405,90.48,107.95,23.52,23.42
2010-03-15,115.5,47.019964,90.36,108.37,23.24,23.55
2010-03-16,116.41,47.32852,91.08,110.41,23.55,23.38
2010-03-17,117.13,47.428054,91.47,109.59,23.76,23.39
2010-03-18,117.03,47.607216,91.17,110.34,23.71,23.56
2010-03-19,115.93,47.258846,91.26,108.28,23.42,23.71
2010-03-22,116.59,47.696797,91.36,107.75,23.43,23.65
2010-03-23,117.4,48.045167,90.93,108.32,23.32,23.73
2010-03-24,116.85,47.796331,89.27,106.3,23.06,24.05
2010-03-25,116.62,47.726657,88.7,106.79,22.93,24.13
2010-03-26,116.66,47.776424,88.95,108.59,22.97,23.96
2010-03-29,117.32,48.005353,88.61,108.78,23.49,23.84
2010-03-30,117.4,48.164608,88.89,107.97,23.53,23.93
2010-03-31,116.99,47.955586,89.5,108.95,23.52,23.8
2010-04-01,117.82,47.935679,88.95,110.26,23.98,23.66
2010-04-05,118.76,48.383583,87.47,110.89,24.36,23.78
2010-04-06,119.04,48.522931,87.61,111.02,24.34,23.85
2010-04-07,118.36,48.40349,88.73,112.44,24.25,23.9
2010-04-08,118.78,48.512977,88.77,112.65,24.21,23.88
2010-04-09,119.55,48.801627,88.98,113.65,24.26,23.7
2010-04-12,119.74,48.84144,89.45,113.03,24.24,23.6
2010-04-13,119.87,49.070369,89.74,112.64,24.33,23.6
2010-04-14,121.19,49.687481,89.11,113.03,24.61,23.48
2010-04-15,121.32,49.896503,89.21,113.64,24.7,23.57
2010-04-16,119.4,49.299298,89.86,111.24,24.27,23.65
2010-04-19,119.81,49.269437,89.64,111.15,23.94,23.69
2010-04-20,120.88,49.518273,89.96,111.46,24.13,23.73
2010-04-21,120.66,49.796969,90.7,112.31,24.25,23.78
2010-04-22,121.02,50.075665,90.43,111.84,24.31,23.89
2010-04-23,121.79,50.284686,90.11,113.19,24.47,23.84
2010-04-26,121.35,50.175199,90.21,112.75,24.35,23.83
2010-04-27,118.43,49.13009,91.48,114.64,23.99,24.1
2010-04-28,119.35,49.140043,90.7,114.31,24.05,24.11
2010-04-29,120.85,49.996037,91.08,114.28,24.25,24.0
2010-04-30,118.86,49.010648,92.13,115.38,24.44,23.95
2010-05-03,120.36,49.697435,91.69,115.73,24.59,24.11
2010-05-04,117.58,48.204421,93.34,114.87,23.9,24.39
2010-05-05,116.82,47.955586,93.89,115.09,23.36,24.61
2010-05-06,112.74,46.353085,96.79,118.44,22.89,24.81
2010-05-07,111.0,45.258209,95.58,118.27,22.78,24.7
2010-05-10,116.17,47.547496,93.6,117.57,23.22,24.66
2010-05-11,115.83,47.497728,93.36,120.68,23.18,24.75
2010-05-12,117.47,48.393536,92.65,121.41,23.37,24.82
2010-05-13,116.02,47.607216,93.26,120.54,23.17,24.96
2010-05-14,113.92,46.711408,94.88,120.4,22.58,25.2
2010-05-17,113.91,46.860709,94.53,119.36,21.94,25.19
2010-05-18,112.43,46.213737,95.98,119.42,21.91,25.46
2010-05-19,111.74,45.84546,96.3,116.63,21.71,25.22
2010-05-20,107.55,44.123518,98.33,115.84,21.26,25.08
2010-05-21,109.03,44.611236,98.43,115.22,21.48,24.98
2010-05-24,107.7,44.451981,98.09,116.84,21.46,25.23
2010-05-25,107.8,44.491795,98.57,117.36,21.29,25.3
2010-05-26,107.17,43.994124,98.29,118.44,21.52,25.47
2010-05-27,110.79,45.666299,96.059998,118.69,22.15,25.2
2010-05-28,109.44,45.40751,96.5,118.9,21.96,25.34
2010-06-01,107.52,44.969559,96.85,119.91,21.55,25.35
2010-06-02,110.28,46.044529,95.93,119.78,21.81,25.34
2010-06-03,110.7,46.442666,95.23,117.9,21.95,25.47
2010-06-04,106.94,44.889932,97.79,119.22,21.25,25.77
2010-06-07,105.49,44.073751,98.54,121.49,21.29,25.83
